listingId,title,price,area_sqft,bhk,bathrooms,parking,location,city,latitude,longitude,floor_number,total_floors,furnishing,facing,age_years,possession_category,possession_date,is_under_construction,project_name,posted_date,propertyType,saleTag,data_source
19976364,3 BHK Flat,17000000.0,1482.0,3.0,3,1,"Virgonagar, Aavalahalli",Bengaluru,13.04425,77.746025,4.0,24.0,Unfurnished,East,,Ready to Move,,False,Aratt Alchemy One,2026-08-04,resale,Resale,Real
20076756,2 BHK Flat,18000000.0,1303.0,2.0,2,1,"Carmelaram, Bengaluru",Bengaluru,12.915319,77.709557,12.0,14.0,Unfurnished,East,2.0,Ready to Move,,False,DSR Parkway,2026-08-14,resale,Resale,Real
21002754,4 BHK Flat,130000000.0,4200.0,4.0,5,3,"Block A, Sahakara Nagar",Bengaluru,13.065111,77.584167,1.0,3.0,Semi Furnished,South,1.0,Ready to Move,,False,,2026-08-27,resale,Resale,Real
20046108,3 BHK Flat,25000000.0,1478.0,3.0,2,2,"Ramanjaneyanagar, Chikkalasandra",Bengaluru,12.913675,77.545877,18.0,26.0,Unfurnished,East,1.0,Ready to Move,,False,,2026-08-24,resale,Resale,Real
20017034,3 BHK Flat,22500000.0,1500.0,3.0,3,2,"Hulimavu, Bengaluru",Bengaluru,12.867722,77.598099,7.0,14.0,Semi Furnished,West,3.0,Ready to Move,,False,Sipani Pennantia,2026-08-21,resale,Resale,Real
21144973,3 BHK Flat,33700000.0,2710.0,3.0,4,1,"Rachenahalli, Jakkur",Bengaluru,13.0640720449154,77.620792282814,7.0,8.0,Semi Furnished,North,10.0,Ready to Move,,False,NR Orchid Gardenia by NR Greenwood Construction Pvt Ltd,2026-09-19,resale,Resale,Real
20626604,4 BHK Flat,30000000.0,2050.0,4.0,4,2,"Anchepalya, Bengaluru",Bengaluru,13.05326,77.487991,20.0,29.0,Semi Furnished,Unknown,5.0,Ready to Move,,False,Prestige Jindal City,2026-09-13,resale,Resale,Real
21087605,2 BHK Flat,15800000.0,1334.0,2.0,2,1,"Dodsworth Layout, Whitefield",Bengaluru,12.9698361261294,77.7490637273097,3.0,4.0,Semi Furnished,East,15.0,Ready to Move,,False,White Field Ville,2026-09-10,resale,Resale,Real
20332518,3 BHK Flat,38000000.0,2072.0,3.0,3,1,"Whitefield, Bengaluru",Bengaluru,12.969345,77.750015,2.0,19.0,Semi Furnished,South,14.0,Ready to Move,,False,Prestige Shantiniketan,2026-09-03,resale,Resale,Real
20972531,2 BHK Flat,9200000.0,920.0,2.0,2,2,"Sree Narayana Nagar, Kadagrahara",Bengaluru,12.860889,77.764618,6.0,6.0,Fully Furnished,Unknown,3.0,Ready to Move,,False,Bhavisha Bentley Goldberg,2026-08-22,resale,Resale,Real
21091032,2 BHK Flat,10300000.0,1150.0,2.0,2,1,"2nd Stage, Uttarahalli Hobli",Bengaluru,12.90691,77.551888,1.0,4.0,Unfurnished,East,2.0,Ready to Move,,False,Shakthi Anitha Regency,2026-09-10,resale,Resale,Real
20867284,3 BHK Flat,24200000.0,1758.0,3.0,3,2,"Ardendale, Kannamangala - Whitefield Hoskote Road",Bengaluru,13.0294656944839,77.7591819551288,23.0,24.0,Unfurnished,East,,Ready to Move,,False,,2026-08-07,resale,Resale,Real
20960591,2 BHK Flat,7000000.0,1250.0,2.0,2,2,"5th Phase, JP Nagar",Bengaluru,12.904679,77.59153,2.0,4.0,Semi Furnished,East,8.0,Ready to Move,,False,Chamundi Garnet,2026-08-20,resale,Resale,Real
20837862,3 BHK Flat,27500000.0,1771.0,3.0,3,1,"Jyotipuram, Bengaluru",Bengaluru,12.868581,77.543205,8.0,28.0,Unfurnished,East,1.0,Ready to Move,,False,Mahindra Eden,2026-08-03,resale,Resale,Real
20800978,3 BHK Flat,22200000.000000004,1660.0,3.0,3,1,"Hosahalli, Bengaluru",Bengaluru,13.146567,77.638603,5.0,15.0,Unfurnished,East,1.0,Ready to Move,,False,,2026-07-29,resale,Resale,Real
19456980,2 BHK Flat,14400000.0,1200.0,2.0,2,1,"Kodigehalli, K R Puram",Bengaluru,13.007033,77.726458,1.0,20.0,Fully Furnished,East,,Upcoming,2026-08-03,True,,2026-08-03,resale,Resale,Real
